rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance to subway in (m),Time to walk to subway,Distance to subway in seconds,target_location,Distance to subway in (km),Duration to subway in mins
3,20000.0,142.0,Дніпровський,"Ентузіастів вул., 21",,1,Livoberezhna,"50.451864, 30.59815699999999",1821.0,24 mins,1410.0,"50.43959427,30.60631561",1.8,24.0
1,13000.0,98.0,Оболонський,"Тимошенка маршала вул., 13а",Мінська,2,Minska,"50.51224200000001, 30.498551",704.0,9 mins,562.0,"50.51182556,30.4924736",0.7,9.0
1,13000.0,58.0,Голосіївський,"Васильківська вул., 100А",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",82.0,1 min,58.0,"50.38207245,30.4763031",82 m,1.0
3,17000.0,123.0,Солом'янський,"Гетьмана Вадима вул., 30",,2,Shuliavska,"50.45422809999999, 30.44862209999999",2038.0,27 mins,1621.0,"50.44485474,30.44156075",2.0,27.0
2,10000.0,126.0,Дарницький,"Харківське шосе 22-й км вул., 58а",,1,Vyrlytsia,"50.4029499, 30.666911",1425.0,18 mins,1061.0,"50.41127777,30.66838264",1.4,18.0
2,14000.0,98.0,Голосіївський,"Васильківська вул., 8",Голосіївська,3,Holosiivska,"50.3973835, 30.5082507",409.0,5 mins,274.0,"50.39640427,30.5035038",0.4,5.0
2,14000.0,95.5,Шевченківський,"Нагірна вул., 6/31",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1920.0,23 mins,1375.0,"50.4745369,30.47769356",1.9,23.0
2,11000.0,98.0,Дарницький,"Драгоманова вул., 3в",,1,Kharkivska,"50.40067610000001, 30.6520895",2300.0,29 mins,1757.0,"50.41588211,30.63833427",2.3,29.0
1,13000.0,98.0,Оболонський,"Тимошенка маршала вул., 13А",Мінська,2,Minska,"50.51224200000001, 30.498551",704.0,9 mins,562.0,"50.51182556,30.4924736",0.7,9.0
1,12000.0,72.0,Дарницький,"Центральна вул., 19",,1,Slavutych,"50.3942606, 30.6048644",985.0,12 mins,740.0,"50.39172363,30.60669136",1.0,12.0
3,50000.0,175.1,Шевченківський,"В'ячеслава Липинського вул. (Чапаєва), 8",,3,Universytet,"50.4432683, 30.5046312",1127.0,15 mins,901.0,"50.44955826,30.50681877",1.1,15.0
1,11000.0,84.0,Солом'янський,"Ернста вул., 2",,2,,,,,,"50.41635513,30.45825195",,0.0
3,20000.0,131.0,Шевченківський,"Велика Житомирська вул., 29а",,3,,,,,,"nan,nan",,0.0
