rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance Text,Distance Value,Duration Text,Duration Value,target_location
1,9000.0,82.0,Дніпровський,"Сосницька вул., 10",,1,Chernihivska,"50.459892, 30.63029200000001",3.4 km,3389.0,42 mins,2535.0,"50.43380737,30.63725662"
1,10000.0,53.0,Шевченківський,"Саратовська вул., 12/28",,3,Beresteiska,"50.4593178, 30.4186364",1.3 km,1346.0,17 mins,1040.0,"50.46933365,30.41498947"
2,13000.0,83.0,Солом'янський,"Політехнічний пров., 5",,2,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",0.7 km,711.0,10 mins,602.0,"50.44760132,30.46629143"
1,9000.0,63.0,Дарницький,"Урлівська вул., 23",,1,Osokorky,"50.395248, 30.616231",2.0 km,2032.0,26 mins,1534.0,"50.41111755,30.61391449"
1,8000.0,67.0,Оболонський,"Героїв Дніпра вул., 71",Героїв Дніпра,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",1.0 km,974.0,12 mins,707.0,"50.52291489,30.51094246"
2,9000.0,85.0,Подільський,"Івана Виговського вул. (Гречка маршала), 24 В",,3,Syrets,"50.47676180000001, 30.4327791",3.5 km,3506.0,43 mins,2553.0,"50.49425507,30.40686417"
2,15000.0,76.0,Шевченківський,"Старокиївська вул., 7/9",,3,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",1.2 km,1192.0,17 mins,1011.0,"50.45252609,30.47192383"
2,10000.0,119.0,Святошинський,"Котельникова Михайла вул., 17",,2,Sviatoshyn,"50.4577675, 30.39065719999999",1.2 km,1237.0,16 mins,958.0,"50.45222092,30.38321304"
2,12000.0,77.0,Дніпровський,"Ігоря Шамо бульв. (Давидова Олексія), 4",,1,Livoberezhna,"50.451864, 30.59815699999999",2.0 km,1986.0,25 mins,1527.0,"50.43585968,30.59900665"
3,15000.0,166.0,Святошинський,"Коласа Якуба вул., 2",,2,Zhytomyrska,"50.45624509999999, 30.3654504",3.8 km,3843.0,47 mins,2823.0,"50.43334579,30.37464333"
1,7500.0,59.0,Святошинський,"Василя Доманицького вул. (Потапова генерала), 6",,2,Sviatoshyn,"50.4577675, 30.39065719999999",4.9 km,4914.0,1 hour 1 min,3678.0,"50.4235611,30.38631821"
1,7000.0,67.0,Святошинський,"Леся Курбаса просп. (50-річчя Жовтня), 9 ",,2,Zhytomyrska,"50.45624509999999, 30.3654504",5.0 km,4983.0,1 hour 2 mins,3705.0,"50.42684174,30.37838936"
1,8000.0,42.0,Святошинський,"Зодчих вул., 80а",,2,Zhytomyrska,"50.45624509999999, 30.3654504",2.5 km,2467.0,30 mins,1828.0,"50.44031906,30.3611412"
2,10000.0,93.0,Солом'янський,"Повітрофлотський просп., 20/1",,2,Vokzalna,"50.44133530000001, 30.489963",1.7 km,1679.0,20 mins,1206.0,"50.43733215,30.47431564"
