link,rooms,price,flat_area,premium,district,address,latitude,longitude,subway,floor,type_of_house,type_of_rooms,type_of_condition,Unnamed: 14,prestigious,code type,closest_subway,subway_location,distance_to_subway,distance_category
https://rieltor.ua/flats-rent/view/10834457/,1.0,12000.0,62.0,ПРЕМІУМ,Голосіївський,"Саксаганського вул., 54/56",50.43740463,30.50576782,,4,Українська цегла,Роздільне,Чудовий стан,,2,4,Університет,"50.444167, 30.505833",0.7519554034726006,1
https://rieltor.ua/flats-rent/view/10831906/,3.0,55410.0,145.0,ПРЕМІУМ,Печерський,"Предславинська вул., 42",50.41551208,30.5252018,Либідська,24,None,Роздільне,Дизайнерський ремонт,,3,5,"Палац ""Україна""","50.420833, 30.520833",0.667736706213934,1
https://rieltor.ua/flats-rent/view/10833767/,2.0,16000.0,129.0,ПРЕМІУМ,Шевченківський,"Артилерійський пров., 7А",50.46102142,30.42460442,,6,Українська цегла,Роздільне,Чудовий стан,,3,4,Берестейська,"50.458333, 30.420833",0.400799298196468,1
https://rieltor.ua/flats-rent/view/10829271/,1.0,6000.0,62.0,ПРЕМІУМ,Дніпровський,"Вершигори Петра вул., 1",50.49303818,30.57640648,,5,None,None,Задовільний стан,,1,1,Лівобережна,"50.451389, 30.598889",4.8968750157382495,2
https://rieltor.ua/flats-rent/view/10821576/,3.0,44328.0,140.0,ПРЕМІУМ,Печерський,"Хрещатик вул., 23",50.44501495,30.52206039,,8,Сталінка,Суміжно-роздільна,Дизайнерський ремонт,,3,5,Театральна,"50.444722, 30.518056",0.2854205845264849,1
https://rieltor.ua/flats-rent/view/10818942/,1.0,17000.0,70.0,ПРЕМІУМ,Шевченківський,"Гоголевская, 27",50.45363235,30.4850769,,6,Українська цегла,Роздільне,Чудовий стан,,3,4,Лук'янівська,"50.462222, 30.481667",0.9851573718087973,1
https://rieltor.ua/flats-rent/view/10829672/,1.0,15000.0,45.0,ПРЕМІУМ,Дарницький,"Осокорська вул., 2а",50.39749146,30.59981918,,22,Бетонно монолітний,Суміжна,Дизайнерський ремонт,,1,5,Славутич,"50.394167, 30.604167",0.4812835815589413,1
https://rieltor.ua/flats-rent/view/10833956/,2.0,22000.0,84.0,ПРЕМІУМ,Печерський,"Лесі Українки бульв., 17",50.42968369,30.53692245,,4,Стара цегла,Кухня-вітальня,Євроремонт,,3,4,Печерська,"50.4275, 30.538889",0.2799360558056755,1
https://rieltor.ua/flats-rent/view/10832324/,3.0,14000.0,128.0,ПРЕМІУМ,Шевченківський,"Берестейський просп. (Перемоги), 19",50.44892502,30.47268295,,6,Типова панель,Роздільне,Хороший стан,,3,3,Політехнічний інститут,"50.450833, 30.466111",0.5114020743279049,1
https://rieltor.ua/flats-rent/view/10828359/,2.0,55410.0,138.0,ПРЕМІУМ,Подільський,"Набережно-Рибальська дорога вул., 9",50.48041534,30.53529167,,2,None,Суміжно-роздільна,Дизайнерський ремонт,,2,5,Контрактова площа,"50.465, 30.516667",2.16227770449042,2
https://rieltor.ua/flats-rent/view/10833321/,2.0,19500.0,91.0,ПРЕМІУМ,Дарницький,"Зарічна вул., 3А",50.39686584,30.60003853,,4,Бетонно монолітний,Студія,Євроремонт,,1,4,Славутич,"50.394167, 30.604167",0.4191664021197528,1
https://rieltor.ua/flats-rent/view/10649811/,2.0,19000.0,124.0,ПРЕМІУМ,Шевченківський,"Софіївська вул., 2",50.45160675,30.51980972,Майдан Незалежності,5,Стара цегла,Суміжна,Євроремонт,,3,4,Майдан Незалежності,"50.45, 30.524167",0.3565051565212869,1
https://rieltor.ua/flats-rent/view/10795830/,3.0,22000.0,170.0,ПРЕМІУМ,Шевченківський,"Велика Васильківська вул., 20",50.43981171,30.51712227,Площа Льва Толстого,2,Стара цегла,Роздільне,Євроремонт,,3,4,Площа Льва Толстого,"50.439444, 30.516944",0.0427922295124143,1
https://rieltor.ua/flats-rent/view/10823308/,2.0,19000.0,118.0,ПРЕМІУМ,Шевченківський,"Софіївська вул., 4",50.45163727,30.52116394,Майдан Незалежності,5,Сталінка,Роздільне,Чудовий стан,,3,4,Майдан Незалежності,"50.45, 30.524167",0.2799164140223766,1
https://rieltor.ua/flats-rent/view/10794965/,3.0,23000.0,158.0,ПРЕМІУМ,Шевченківський,"Велика Васильківська вул., 20",50.43981171,30.51712227,Площа Льва Толстого,2,Сталінка,Роздільне,Євроремонт,,3,4,Площа Льва Толстого,"50.439444, 30.516944",0.0427922295124143,1
https://rieltor.ua/flats-rent/view/10828495/,4.0,48022.0,217.0,ПРЕМІУМ,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 2",50.4899559,30.5285511,,4,None,Суміжно-роздільна,Дизайнерський ремонт,,2,5,Почайна,"50.486667, 30.497778",2.207581537154847,2
